Index,Value,Time,Iterations
297,721429,2.100015990436077e-06,10
298,932637,1.600012183189392e-06,9
299,930953,1.300009898841381e-06,9
300,756372,2.399901859462261e-06,10
301,475141,7.400056347250938e-06,14
302,615325,1.300009898841381e-06,9
303,831588,1.300009898841381e-06,9
304,345706,1.300009898841381e-06,9
305,298550,1.400010660290718e-06,9
306,407837,1.200009137392044e-06,9
307,818066,1.300009898841381e-06,9
308,261169,1.400010660290718e-06,9
309,941620,2.00001522898674e-06,10
310,773517,2.400018274784088e-06,10
311,58086,5.499925464391708e-06,12
312,899631,1.300009898841381e-06,9
313,697842,1.300009898841381e-06,9
314,494197,2.200016751885414e-06,10
315,396802,3.500026650726795e-06,11
316,563139,1.9000144675374031e-06,10
317,755181,1.300009898841381e-06,9
318,148721,1.2998934835195541e-06,9
319,371447,1.300009898841381e-06,9
320,794943,2.200016751885414e-06,10
321,4692,1.400010660290718e-06,9
322,314994,1.300009898841381e-06,9
323,994175,1.2998934835195541e-06,9
324,985463,1.300009898841381e-06,9
325,353945,1.200009137392044e-06,9
326,272951,3.300025127828121e-06,11
327,467241,1.1998927220702171e-06,9
328,989018,3.400025889277458e-06,11
329,437763,1.300009898841381e-06,9
330,114295,2.300017513334751e-06,10
331,558147,1.2998934835195541e-06,9
332,370330,2.200016751885414e-06,10
333,485819,1.400010660290718e-06,9
334,562219,2.100015990436077e-06,10
335,107459,1.3998942449688911e-06,9
336,21800,3.400025889277458e-06,11
337,764630,8.999952115118504e-06,15
338,376425,1.500011421740055e-06,9
339,808484,2.500019036233425e-06,10
340,196690,2.500019036233425e-06,10
341,374223,2.00001522898674e-06,10
342,257899,1.200009137392044e-06,9
343,426785,3.500026650726795e-06,11
344,959790,3.4999102354049683e-06,11
345,556298,1.200009137392044e-06,9
346,309071,1.200009137392044e-06,9
347,858338,2.300017513334751e-06,10
348,900776,2.399901859462261e-06,10
349,969641,2.200016751885414e-06,10
350,501214,1.300009898841381e-06,9
351,969568,1.300009898841381e-06,9
352,242990,4.299916326999664e-06,12
353,663566,1.300009898841381e-06,9
354,184519,4.100031219422817e-06,12
355,274413,1.300009898841381e-06,9
356,487133,3.200024366378784e-06,11
357,746056,2.200016751885414e-06,10
358,945123,1.300009898841381e-06,9
359,408867,1.400010660290718e-06,9
360,815276,1.400010660290718e-06,9
361,867047,1.200009137392044e-06,9
362,582763,3.300025127828121e-06,11
363,575455,1.400010660290718e-06,9
364,997202,2.500019036233425e-06,10
365,608645,1.300009898841381e-06,9
366,928575,2.200016751885414e-06,10
367,805875,1.300009898841381e-06,9
368,238786,1.2998934835195541e-06,9
369,31240,2.00001522898674e-06,10
370,411794,1.500011421740055e-06,9
371,219360,2.100015990436077e-06,10
372,751303,1.200009137392044e-06,9
373,61654,1.100008375942707e-06,9
374,748245,4.500034265220165e-06,11
375,195373,1.600012183189392e-06,9
376,261127,2.09989957511425e-06,10
377,306276,3.300025127828121e-06,11
378,171192,1.300009898841381e-06,9
379,309367,2.00001522898674e-06,10
380,606355,1.4998950064182281e-06,9
381,713855,1.400010660290718e-06,9
382,69496,2.200016751885414e-06,10
383,529464,2.200016751885414e-06,10
384,477787,2.09989957511425e-06,10
385,326382,3.500026650726795e-06,11
386,132489,3.400025889277458e-06,11
387,76097,2.199900336563587e-06,10
388,908661,1.300009898841381e-06,9
389,695377,3.600027412176132e-06,11
390,36597,5.499925464391708e-06,13
391,790592,1.300009898841381e-06,9
392,732877,2.00001522898674e-06,10
393,515932,1.300009898841381e-06,9
394,343057,1.999898813664913e-06,10
395,377191,4.900037311017513e-06,12
396,6094,1.9000144675374031e-06,10
397,64990,1.600012183189392e-06,9
398,967781,4.700035788118839e-06,12
399,753628,2.00001522898674e-06,10
400,565985,1.400010660290718e-06,9
401,94151,1.2998934835195541e-06,9
402,49982,1.300009898841381e-06,9
403,535110,1.300009898841381e-06,9
404,264975,2.200016751885414e-06,10
405,500303,2.8999056667089462e-06,10
406,250279,1.300009898841381e-06,9
407,604146,4.700035788118839e-06,12
408,132989,1.400010660290718e-06,9
409,491402,1.200009137392044e-06,9
410,477833,1.400010660290718e-06,9
411,361888,1.400010660290718e-06,9
412,986093,1.300009898841381e-06,9
413,890022,1.400010660290718e-06,9
414,629185,1.400010660290718e-06,9
415,276637,3.400025889277458e-06,11
416,688236,1.300009898841381e-06,9
417,509683,2.09989957511425e-06,10
418,908538,4.800036549568176e-06,12
419,795037,1.200009137392044e-06,9
420,195116,2.199900336563587e-06,10
421,205204,1.300009898841381e-06,9
422,38613,1.100008375942707e-06,9
423,705523,1.300009898841381e-06,9
424,352582,2.300017513334751e-06,10
425,452779,1.2998934835195541e-06,9
426,994886,1.200009137392044e-06,9
427,920206,1.200009137392044e-06,9
428,560258,1.300009898841381e-06,9
429,344675,1.200009137392044e-06,9
430,664264,4.699919372797012e-06,12
431,877037,1.300009898841381e-06,9
432,626159,3.200024366378784e-06,11
433,521372,3.2999087125062943e-06,11
434,935814,3.300025127828121e-06,11
435,784883,4.100031219422817e-06,11
436,692722,1.2998934835195541e-06,9
437,700223,6.800051778554916e-06,13
438,279940,1.400010660290718e-06,9
439,232851,1.2998934835195541e-06,9
440,162046,2.400018274784088e-06,10
441,268958,1.400010660290718e-06,9
442,732899,1.400010660290718e-06,9
443,452292,4.299916326999664e-06,12
444,379820,1.300009898841381e-06,9
445,946600,2.200016751885414e-06,10
446,947674,1.300009898841381e-06,9
447,192214,1.3998942449688911e-06,9
448,956818,1.400010660290718e-06,9
449,746009,1.200009137392044e-06,9
450,495475,1.400010660290718e-06,9
451,30892,1.300009898841381e-06,9
452,105791,3.5999109968543053e-06,11
453,228982,2.300017513334751e-06,10
454,334440,1.300009898841381e-06,9
455,85417,4.599918611347675e-06,12
456,363444,1.400010660290718e-06,9
457,985318,1.6998965293169022e-06,9
458,500186,3.8000289350748062e-06,11
459,994613,6.00004568696022e-06,13
460,701550,1.400010660290718e-06,9
461,66076,3.500026650726795e-06,11
462,981133,1.400010660290718e-06,9
463,292307,2.199900336563587e-06,10
464,946231,4.700035788118839e-06,12
465,695737,2.100015990436077e-06,10
466,845915,2.200016751885414e-06,10
467,361665,3.500026650726795e-06,11
468,956225,2.300017513334751e-06,10
469,166098,1.500011421740055e-06,9
470,377496,1.1998927220702171e-06,9
471,591258,1.300009898841381e-06,9
472,146723,2.300017513334751e-06,10
473,53080,3.300025127828121e-06,10
474,72862,1.2998934835195541e-06,9
475,464825,1.400010660290718e-06,9
476,687518,2.100015990436077e-06,10
477,266755,2.200016751885414e-06,10
478,107222,1.400010660290718e-06,9
479,21376,1.400010660290718e-06,9
480,544321,5.900044925510883e-06,13
481,547640,1.700012944638729e-06,9
482,45758,2.200016751885414e-06,10
483,525998,1.300009898841381e-06,9
484,390706,1.300009898841381e-06,9
485,431483,4.699919372797012e-06,12
486,920480,2.100015990436077e-06,10
487,874880,2.300017513334751e-06,10
488,789996,1.300009898841381e-06,9
489,720624,1.200009137392044e-06,9
490,403658,2.100015990436077e-06,10
491,939109,1.200009137392044e-06,9
492,623673,1.400010660290718e-06,9
493,238654,2.100015990436077e-06,10
494,183317,1.500011421740055e-06,9
495,115532,1.300009898841381e-06,9
496,589325,2.400018274784088e-06,10
497,571267,2.500019036233425e-06,10
498,850552,1.300009898841381e-06,9
499,937394,2.200016751885414e-06,10
500,194629,3.300025127828121e-06,11
501,325129,1.500011421740055e-06,9
502,294652,1.300009898841381e-06,9
