Index,Value,Time,Iterations
340,418757,4.799920134246349e-06,16
341,848892,3.900029696524143e-06,16
342,394222,2.500019036233425e-06,12
343,468646,2.8999056667089462e-06,12
344,18753,2.300017513334751e-06,12
345,864087,2.400018274784088e-06,12
346,442988,2.400018274784088e-06,12
347,377552,3.100023604929447e-06,13
348,592029,2.00001522898674e-06,12
349,869368,2.500019036233425e-06,12
350,473603,2.6999041438102722e-06,12
351,932647,2.300017513334751e-06,12
352,558449,2.200016751885414e-06,11
353,371562,2.400018274784088e-06,12
354,724151,4.00003045797348e-06,16
355,727568,4.100031219422817e-06,16
356,768100,5.599926225841045e-06,20
357,664163,3.300025127828121e-06,14
358,207640,3.300025127828121e-06,14
359,337553,2.400018274784088e-06,12
360,344834,2.600019797682762e-06,14
361,774891,2.700020559132099e-06,12
362,688855,2.299901098012924e-06,12
363,66532,2.700020559132099e-06,12
364,215162,2.300017513334751e-06,12
365,338858,2.500019036233425e-06,11
366,519690,3.200024366378784e-06,14
367,465730,3.700028173625469e-06,15
368,515373,2.800021320581436e-06,14
369,508565,2.100015990436077e-06,12
370,312507,2.100015990436077e-06,10
371,459430,2.400018274784088e-06,12
372,889258,4.499917849898338e-06,15
373,36386,2.900022082030773e-06,12
374,117123,2.600019797682762e-06,14
375,22619,2.399901859462261e-06,12
376,255593,2.300017513334751e-06,12
377,494872,4.100031219422817e-06,16
378,637350,2.7999049052596092e-06,14
379,378465,3.100023604929447e-06,14
380,253734,3.600027412176132e-06,15
381,63933,4.699919372797012e-06,18
382,148080,2.500019036233425e-06,12
383,378780,2.800021320581436e-06,13
384,614999,2.7999049052596092e-06,12
385,941920,6.00004568696022e-06,22
386,428925,3.8000289350748062e-06,14
387,200524,3.500026650726795e-06,13
388,311017,2.200016751885414e-06,12
389,815478,2.400018274784088e-06,12
390,481069,3.600027412176132e-06,14
391,758176,3.500026650726795e-06,14
392,269655,2.300017513334751e-06,12
393,868771,2.700020559132099e-06,12
394,297229,4.800036549568176e-06,18
395,67509,3.8000289350748062e-06,16
396,84532,2.800021320581436e-06,14
397,781400,2.300017513334751e-06,11
398,30276,3.900029696524143e-06,16
399,731159,4.00003045797348e-06,16
400,593295,2.600019797682762e-06,12
401,691944,4.199915565550327e-06,12
402,315290,4.00003045797348e-06,16
403,172824,2.900022082030773e-06,14
404,710772,2.199900336563587e-06,12
405,830269,3.8000289350748062e-06,14
406,608645,4.400033503770828e-06,14
407,865760,2.599903382360935e-06,12
408,292501,3.500026650726795e-06,14
409,941620,2.400018274784088e-06,9
410,311028,4.599918611347675e-06,16
411,195754,2.500019036233425e-06,12
412,160312,3.200024366378784e-06,14
413,783904,2.9999064281582832e-06,14
414,154842,3.500026650726795e-06,14
415,88844,2.400018274784088e-06,12
416,607802,3.5999109968543053e-06,14
417,630996,4.900037311017513e-06,18
418,456143,2.900022082030773e-06,12
419,754339,3.00002284348011e-06,11
420,933789,2.300017513334751e-06,11
421,870538,3.200024366378784e-06,14
422,894758,3.500026650726795e-06,14
423,882333,2.600019797682762e-06,14
424,314057,3.200024366378784e-06,14
425,847668,2.300017513334751e-06,12
426,298271,3.8000289350748062e-06,16
427,62280,2.500019036233425e-06,12
428,48927,3.500026650726795e-06,14
429,706007,2.900022082030773e-06,12
430,240575,3.900029696524143e-06,16
431,263542,5.100038833916187e-06,17
432,715439,2.300017513334751e-06,12
433,519045,2.100015990436077e-06,10
434,572934,2.800021320581436e-06,12
435,521683,4.100031219422817e-06,16
436,775650,3.7999125197529793e-06,16
437,473186,2.600019797682762e-06,12
438,816567,3.200024366378784e-06,14
439,117884,2.400018274784088e-06,12
440,747245,2.500019036233425e-06,12
441,811567,4.200031980872154e-06,16
442,364251,2.800021320581436e-06,12
443,684140,2.500019036233425e-06,11
444,263536,2.700020559132099e-06,12
445,916748,2.300017513334751e-06,12
446,969867,2.299901098012924e-06,12
447,442143,2.400018274784088e-06,12
448,582933,2.700020559132099e-06,12
449,575335,4.200031980872154e-06,16
450,760247,2.700020559132099e-06,12
451,199735,2.399901859462261e-06,11
452,609372,3.00002284348011e-06,14
453,429087,2.300017513334751e-06,10
454,607142,2.800021320581436e-06,12
455,634625,4.600035026669502e-06,18
456,638030,3.100023604929447e-06,13
457,987996,3.6999117583036423e-06,14
458,914483,3.400025889277458e-06,14
459,678125,2.300017513334751e-06,12
460,432603,4.299916326999664e-06,14
461,104493,2.700020559132099e-06,12
462,860965,3.500026650726795e-06,16
463,199400,2.600019797682762e-06,14
464,955373,3.100023604929447e-06,12
465,391383,5.300040356814861e-06,18
466,730876,3.5999109968543053e-06,13
467,497625,2.400018274784088e-06,12
468,450341,2.800021320581436e-06,14
469,589055,2.7999049052596092e-06,14
470,688892,2.400018274784088e-06,12
471,595560,2.400018274784088e-06,12
472,288256,2.200016751885414e-06,12
473,604823,7.6000578701496124e-06,26
474,437399,3.700028173625469e-06,14
475,910113,2.9999064281582832e-06,14
476,18140,2.900022082030773e-06,14
477,644043,5.799927748739719e-06,20
478,509249,2.300017513334751e-06,12
479,827242,2.600019797682762e-06,12
480,352398,3.400025889277458e-06,14
481,317586,2.200016751885414e-06,12
482,709432,2.700020559132099e-06,14
483,248686,2.500019036233425e-06,12
484,99585,3.5999109968543053e-06,16
485,145342,3.500026650726795e-06,15
486,720807,2.800021320581436e-06,14
